"state","demographic_group","high_adi_predicted","low_adi_predicted","high_adi_observed","low_adi_observed","absolute_disparity_predicted","relative_disparity_predicted","absolute_disparity_observed","high_adi_mean_staternk","low_adi_mean_staternk","sample_size_high","sample_size_low"
"WV","General_Population",0.985925741161016,0.98670644021273,0.97887323943662,0.974729241877256,0.000780699051714406,0.00079184366440721,-0.00414399755936334,7.81931464174455,1.64596273291925,321,322
"WV","Older_American",0.985255563228123,0.987343567836704,1,1,0.00208800460858083,0.0021192517824915,0,7.81931464174455,1.64596273291925,321,322
"WV","Servicemember",0.984096125143561,0.984618905709496,1,1,0.0005227805659348,0.000531229168144964,0,7.81931464174455,1.64596273291925,321,322
"OK","General_Population",0.981071635870741,0.982046893118831,0.985116279069767,0.981203007518797,0.000975257248090444,0.000994073431982212,-0.00391327155097043,7.80714285714286,2.05709754163362,1260,1261
"OK","Older_American",0.980178680850042,0.982794623985948,0.962962962962963,1,0.00261594313590563,0.00266884312729276,0.037037037037037,7.80714285714286,2.05709754163362,1260,1261
"OK","Servicemember",0.978623694015167,0.979275380714083,0.984732824427481,0.985401459854015,0.000651686698915244,0.000665921643733691,0.000668635426533726,7.80714285714286,2.05709754163362,1260,1261
"OR","General_Population",0.984636038258283,0.985480595531282,0.979230769230769,0.984626647144949,0.000844557272999369,0.000857735488224876,0.00539587791417939,8.18967741935484,2.06576402321083,1550,1551
"OR","Older_American",0.983813077737462,0.986085474296542,0.992125984251969,0.991304347826087,0.00227239655908007,0.00230978486716804,-0.000821636425881511,8.18967741935484,2.06576402321083,1550,1551
"OR","Servicemember",0.98266616105801,0.983230662694847,0.991869918699187,0.971428571428571,0.000564501636836967,0.000574459220442858,-0.0204413472706155,8.18967741935484,2.06576402321083,1550,1551
"ME","General_Population",0.97470855775656,0.976218963944338,0.9581589958159,0.971311475409836,0.0015104061877782,0.00154959774976704,0.0131524795939365,8.64406779661017,1.90878378378378,295,296
"ME","Older_American",0.97318259586392,0.977255621728893,0.928571428571429,0.935483870967742,0.0040730258649726,0.00418526377504413,0.00691244239631339,8.64406779661017,1.90878378378378,295,296
"ME","Servicemember",0.971551347553084,0.972557567760149,0.928571428571429,0.952380952380952,0.0010062202070642,0.00103568402184662,0.0238095238095237,8.64406779661017,1.90878378378378,295,296
"UT","General_Population",0.985397308805521,0.986126219176599,0.982641509433962,0.985328185328185,0.00072891037107814,0.000739712159313344,0.00268667589422333,8.04545454545455,2.50319375443577,1408,1409
"UT","Older_American",0.984648764699795,0.986614133962494,1,1,0.00196536926269897,0.00199601048938325,0,8.04545454545455,2.50319375443577,1408,1409
"UT","Servicemember",0.983514351548487,0.98400139273132,1,1,0.00048704118283327,0.000495204957676965,0,8.04545454545455,2.50319375443577,1408,1409
"MT","General_Population",0.974481040825655,0.975821490830899,0.990825688073395,0.982142857142857,0.00134045000524308,0.00137555267787182,-0.00868283093053746,8.00740740740741,2.1037037037037,135,135
"MT","Older_American",0.973203734635537,0.976805806369286,1,1,0.00360207173374927,0.00370125144977806,0,8.00740740740741,2.1037037037037,135,135
"MT","Servicemember",0.971227453542491,0.97212111037571,1,1,0.000893656833218404,0.000920131355388376,0,8.00740740740741,2.1037037037037,135,135
"ND","General_Population",0.987522217310957,0.988020666562251,0.974522292993631,0.979591836734694,0.00049844925129483,0.000504747379407977,0.00506954374106328,6.59171597633136,2.18823529411765,169,170
"ND","Older_American",0.987173488187265,0.988499111281937,1,0.8,0.00132562309467266,0.00134284713936839,-0.2,6.59171597633136,2.18823529411765,169,170
"ND","Servicemember",0.985830924511781,0.986165287509603,1,1,0.000334362997821858,0.00033916870480355,0,6.59171597633136,2.18823529411765,169,170
"SC","General_Population",0.983292266289708,0.984160161339973,0.989107269713474,0.983614822283841,0.000867895050264633,0.000882641997724143,-0.00549244742963251,8.04907306434024,2.26341037941561,4585,4586
"SC","Older_American",0.982436758799263,0.984772723119314,0.974683544303797,0.973404255319149,0.00233596432005156,0.00237772487554988,-0.00127928898464846,8.04907306434024,2.26341037941561,4585,4586
"SC","Servicemember",0.981143325963673,0.98172314839959,0.957597173144876,0.979118329466357,0.000579822435917587,0.000590966090859402,0.021521156321481,8.04907306434024,2.26341037941561,4585,4586
"RI","General_Population",0.987355269772824,0.988063891363686,0.98320895522388,0.986247544204322,0.000708621590861491,0.000717696671659551,0.00303858898044163,8.5222602739726,2.29230769230769,584,585
"RI","Older_American",0.986607146539387,0.988522098692856,1,1,0.00191495215346971,0.00194094697183833,0,8.5222602739726,2.29230769230769,584,585
